year,program,adults,elderly,kids,total
2023,Energy Assistance,-0.0634,-0.06,-0.0479,-0.1714
2023,Broadband Subsidy,-0.0365,-0.0159,-0.0062,-0.0586
2023,Utilities Assistance,-0.1009,-0.0686,-0.0573,-0.2268
2023,SNAP + School Lunch,-1.8577,-0.5561,-2.1019,-4.5157
2023,FICA,2.8441,0.2426,1.5063,4.593
2023,Childcare Expenses,0.2698,0.0052,0.3907,0.6657
2023,Medical Expenses,3.6887,2.1617,1.5911,7.4415
2023,Work Expenses,2.3394,0.2276,1.1847,3.7517
2023,Federal Income Tax,0.897,0.1198,0.2028,1.2196
2023,Child Support Paid,0.1356,0.0161,0.0265,0.1782
2024,Social Security,-7.0566,-20.0271,-1.5404,-28.6241
2024,SSI,-1.588,-0.5286,-0.3899,-2.5065
2024,Unemployment Insurance,-0.2483,-0.0602,-0.1322,-0.4407
2024,Child Support Received,-0.0,-0.0,-0.0,-0.0
2024,TANF/General Assistance,-0.1505,-0.0151,-0.1651,-0.3307
2024,Refundable Tax Credits,-2.8461,-0.0849,-3.8718,-6.8028
2024,Housing Subsidies,-0.8981,-0.6041,-0.6778,-2.18
2024,WIC,-0.1011,-0.0059,-0.1881,-0.2951
2024,SNAP,-1.5404,-0.5738,-1.4708,-3.585
2024,School Lunch,-0.4372,-0.0345,-0.7385,-1.2102
2024,Energy Assistance,-0.0958,-0.0733,-0.0548,-0.2238
2024,Broadband Subsidy,-0.0145,-0.0266,-0.0104,-0.0515
2024,Utilities Assistance,-0.1057,-0.086,-0.0581,-0.2499
2024,SNAP + School Lunch,-1.9748,-0.6042,-2.1441,-4.723
2024,FICA,2.8017,0.2213,1.5242,4.5472
2024,Childcare Expenses,0.2976,0.0033,0.408,0.7089
2024,Medical Expenses,3.5291,2.2106,1.6306,7.3703
2024,Work Expenses,2.1799,0.2103,1.0981,3.4883
2024,Federal Income Tax,0.9959,0.1443,0.2301,1.3703
2024,Child Support Paid,0.1373,0.0004,0.0492,0.1869
