,25-54,16+
2006-04-01,879.9172563435964,832.2328996595564
2006-05-01,877.3149536792856,831.0226630864859
2006-06-01,875.121034117491,830.3244276946015
2006-07-01,875.203408136319,831.0154975951447
2006-08-01,875.7992181591521,830.764759530474
2006-09-01,877.2139061314138,831.4551638068887
2006-10-01,876.2064269782292,832.4906788815202
2006-11-01,877.822710626435,834.4510285807255
2006-12-01,878.8717662583975,834.2184835604361
2007-01-01,879.4319241302254,833.7454992669691
2007-02-01,880.253990691764,834.0454226800115
2007-03-01,881.1260628968648,834.5902275538524
2007-04-01,883.2010483095472,835.9676199375331
2007-05-01,885.1095517169064,837.3899442732578
2007-06-01,886.3041666779304,837.6139127190308
2007-07-01,886.0790803029628,836.750902267983
2007-08-01,887.207096468857,838.1714035776644
2007-09-01,887.6662943874244,837.8653349760139
2007-10-01,888.2125876960496,837.3601332395259
2007-11-01,886.0182977213757,835.160123637036
2007-12-01,884.1635566100996,833.7737298680213
2008-01-01,884.0730396433601,832.6291323373407
2008-02-01,885.440882156891,832.9078679582731
2008-03-01,885.5567367760385,832.4283129233066
2008-04-01,885.6261591507778,832.4939749782184
2008-05-01,885.6411240461065,831.6457375297531
2008-06-01,885.851848384979,831.5437446162018
2008-07-01,883.3346174421467,829.8901376828999
2008-08-01,881.3520535729734,828.2556882098173
2008-09-01,880.1239185943969,827.2379707199503
2008-10-01,881.1997406197953,829.1899111815119
2008-11-01,884.1328177093974,830.3922182621577
2008-12-01,886.0450324928466,833.1373692790067
2009-01-01,887.1118456131502,836.1647316488817
2009-02-01,887.1279993456275,838.2035230720626
2009-03-01,887.5541202350483,841.460106980784
2009-04-01,888.8871986571999,843.6296092537814
2009-05-01,890.5224617596654,846.2172550875785
2009-06-01,891.4616403659387,848.8379615609506
2009-07-01,894.7528959859893,854.0494597818753
2009-08-01,895.8563571227469,855.753867738973
2009-09-01,896.9012949518929,859.6069707885617
2009-10-01,897.141177294804,860.876606456998
2009-11-01,895.7511699547159,863.3908245661156
2009-12-01,895.5713479638365,864.3487325378927
2010-01-01,896.3836527787915,866.251799209635
2010-02-01,894.7968457179559,865.223493662509
2010-03-01,893.1196201565068,865.3865873754138
2010-04-01,891.4928385796744,865.5508484650321
2010-05-01,890.0375943894182,865.9918015102968
2010-06-01,888.3579586969546,864.7494052286225
2010-07-01,887.3704845832826,863.6520081131375
2010-08-01,886.5468648058999,865.0571569774244
2010-09-01,885.7257636888224,864.2565825876995
2010-10-01,885.822447267597,863.4242699599522
2010-11-01,887.5708662374127,863.4961367615048
2010-12-01,886.525711752429,862.452695968131
2011-01-01,883.4569781362075,860.3729914308916
2011-02-01,884.0602000991936,860.6606069672448
2011-03-01,882.1027933672485,857.5280840462337
